# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6400,0.2000,0.7211,0.7211
0.5400,0.1000,0.7071,0.7071
0.5400,0.0000,0.7071,0.7071
0.4400,-0.1000,0.7211,0.7211
0.3400,-0.2000,0.7211,0.7211
0.2400,-0.3000,0.7071,0.7071
0.2400,-0.4000,0.7071,0.7071
0.1400,-0.5000,0.7071,0.7071
0.0400,-0.6000,0.7071,0.7071
-0.0600,-0.7000,0.7071,0.7071
-0.1600,-0.8000,0.6708,0.6708
-0.1600,-0.9000,0.6403,0.6403
-0.2600,-1.0000,0.6708,0.6708
-0.3600,-1.1000,0.6325,0.6325
-0.3600,-1.2000,0.6708,0.6708
-0.4600,-1.3000,0.6325,0.6325
-0.4600,-1.4000,0.6708,0.6708
-0.4600,-1.5000,0.6325,0.6325
-0.5600,-1.6000,0.6325,0.6325
-0.5600,-1.7000,0.6708,0.6708
-0.5600,-1.8000,0.7000,0.7000
-0.5600,-1.9000,0.7000,0.7000
-0.5600,-2.0000,0.7000,0.7000
-0.5600,-2.1000,0.7000,0.7000
-0.5600,-2.2000,0.7071,0.7071
-0.5600,-2.3000,0.7280,0.7280
-0.5600,-2.4000,0.7071,0.7071
-0.5600,-2.5000,0.6708,0.6708
-0.4600,-2.6000,0.7071,0.7071
-0.3600,-2.7000,0.7211,0.7211
-0.3600,-2.8000,0.6708,0.6708
-0.2600,-2.9000,0.7071,0.7071
-0.1600,-3.0000,0.6708,0.6708
-0.1600,-3.1000,0.6403,0.6403
-0.0600,-3.2000,0.6403,0.6403
0.0400,-3.3000,0.6403,0.6403
0.1400,-3.4000,0.6403,0.6403
0.2400,-3.5000,0.6403,0.6403
0.3400,-3.6000,0.6403,0.6403
0.4400,-3.7000,0.6403,0.6403
0.5400,-3.8000,0.6403,0.6403
0.6400,-3.9000,0.6403,0.6403
0.7400,-4.0000,0.6403,0.6403
0.8400,-4.1000,0.6403,0.6403
0.9400,-4.2000,0.6403,0.6403
1.0400,-4.3000,0.6403,0.6403
1.1400,-4.4000,0.6325,0.6325
1.2400,-4.4000,0.6325,0.6325
1.3400,-4.5000,0.6403,0.6403
1.4400,-4.6000,0.6403,0.6403
1.5400,-4.7000,0.6403,0.6403
1.6400,-4.8000,0.6325,0.6325
